IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
170049146,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/18/17 0:00,17:00:00,SOUTHERN,NONE,HARRISON ST / 10TH ST,37.77157858,-122.4112792
170049168,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,1/10/17 0:00,21:00:00,NORTHERN,NONE,VANNESS AV / ELLIS ST,37.78382269,-122.4210119
170126164,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,2/12/17 0:00,18:00:00,NORTHERN,NONE,700 Block of STEINER ST,37.77610474,-122.4328683
170468615,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,6/8/17 0:00,11:00:00,NORTHERN,NONE,CHESTNUT ST / BUCHANAN ST,37.80123515,-122.4329594
171045828,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,12/27/17 0:00,18:45:00,NORTHERN,NONE,HICKORY ST / GOUGH ST,37.77548582,-122.4226962
171045856,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,12/27/17 0:00,17:40:00,MISSION,NONE,CAPP ST / 20TH ST,37.75869682,-122.4179645
170194882,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,3/9/17 0:00,8:15:00,BAYVIEW,NONE,1000 Block of TENNESSEE ST,37.75915141,-122.3892969
170195614,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,3/9/17 0:00,12:00:00,BAYVIEW,NONE,2000 Block of BAY SHORE BL,37.71453175,-122.3991288
170195620,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,3/9/17 0:00,12:00:00,CENTRAL,NONE,LEAVENWORTH ST / GREENWICH ST,37.80126838,-122.4178006
171047733,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/28/17 0:00,15:30:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
170120235,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,2/11/17 0:00,14:30:00,NORTHERN,NONE,2400 Block of BAY ST,37.80165457,-122.4472152
