GEOID,county,state,tract,medincome,rent,tpop,pnewh,medhval,pwht,pblk,pasn,phsp,region
6001425102,Alameda County,California,Census Tract 4251.02,92296,2151,3080,0.290422245,428200,0.417532468,0.077597403,0.357467532,0.075649351,Bay Area
6001425103,Alameda County,California,Census Tract 4251.03,90556,2056,3060,0.559973924,484900,0.41372549,0.114379085,0.243464052,0.123856209,Bay Area
6001425104,Alameda County,California,Census Tract 4251.04,56750,1328,3361,0.334305151,408400,0.358226718,0.260934246,0.14995537,0.175542993,Bay Area
6001426100,Alameda County,California,Census Tract 4261,212386,2824,6293,0.022012579,1786900,0.725409185,0.010805657,0.18369617,0.03877324,Bay Area
6001426200,Alameda County,California,Census Tract 4262,168713,2208,4908,0.033142857,1.35E+06,0.644254279,0.015077425,0.175631622,0.079054605,Bay Area
6001427100,Alameda County,California,Census Tract 4271,116581,1677,3559,0.012236574,8.44E+05,0.669008148,0.056195561,0.149761169,0.072492273,Bay Area
6001427200,Alameda County,California,Census Tract 4272,67404,1337,4212,0.003541913,608700,0.4171415,0.047483381,0.191120608,0.23622982,Bay Area
6001427300,Alameda County,California,Census Tract 4273,78654,1265,5418,0.08047619,632400,0.349575489,0.082318199,0.373385013,0.137689184,Bay Area
6001427600,Alameda County,California,Census Tract 4276,50099,1575,5757,0.08998935,426800,0.223901338,0.238665972,0.347576863,0.106131666,Bay Area
6001427700,Alameda County,California,Census Tract 4277,8.00E+04,1528,5113,0.01980198,597500,0.5184823,0.077840798,0.197144534,0.122237434,Bay Area
6001427800,Alameda County,California,Census Tract 4278,98348,1416,4808,0.039315449,7.63E+05,0.526622296,0.039517471,0.225665557,0.104409318,Bay Area
6001427900,Alameda County,California,Census Tract 4279,81117,1473,5178,0,774500,0.464465044,0.077056779,0.252800309,0.140401699,Bay Area
6001428000,Alameda County,California,Census Tract 4280,68356,1319,3022,0.011707989,541200,0.315023163,0.077763071,0.356055592,0.176042356,Bay Area
6001428100,Alameda County,California,Census Tract 4281,84725,1298,4837,0,755800,0.589828406,0.017779615,0.209634071,0.126317966,Bay Area
6001428200,Alameda County,California,Census Tract 4282,84205,1555,6339,0.029516358,665300,0.550244518,0.059946364,0.245780091,0.101435558,Bay Area
6001428301,Alameda County,California,Census Tract 4283.01,111205,2025,6977,0.046457607,608900,0.296545793,0.021929196,0.475419235,0.102336248,Bay Area
6001428302,Alameda County,California,Census Tract 4283.02,130059,1935,7204,0.01732852,848700,0.428789561,0.038450861,0.385896724,0.070377568,Bay Area
6001428400,Alameda County,California,Census Tract 4284,73125,1406,4407,0.011686992,588800,0.441797141,0.059904697,0.313592013,0.144542773,Bay Area
6001428500,Alameda County,California,Census Tract 4285,67045,1604,3148,0.010855683,7.29E+05,0.435514612,0.037801779,0.322109276,0.109911055,Bay Area
6001428600,Alameda County,California,Census Tract 4286,79892,2039,3227,0.034834835,590400,0.39789278,0.104741246,0.347691354,0.060737527,Bay Area
6001428700,Alameda County,California,Census Tract 4287,52688,1085,4203,0.587174349,860500,0.310968356,0.162502974,0.362836069,0.112538663,Bay Area
6001430101,Alameda County,California,Census Tract 4301.01,124014,2949,7030,0.105897546,693900,0.343243243,0.024182077,0.486913229,0.078236131,Bay Area
6001430102,Alameda County,California,Census Tract 4301.02,117583,1957,2224,0.028665932,723300,0.595773381,0.03192446,0.184352518,0.121852518,Bay Area
6001430200,Alameda County,California,Census Tract 4302,114737,2244,6701,0.038707103,633300,0.630055216,0.019250858,0.177883898,0.110878973,Bay Area
6001430300,Alameda County,California,Census Tract 4303,110465,1946,3827,0.04197349,670100,0.553958714,0.112359551,0.176117063,0.120721192,Bay Area
6001430400,Alameda County,California,Census Tract 4304,118250,2205,2101,0.015584416,643900,0.563065207,0.002855783,0.210376011,0.174678724,Bay Area
6001430500,Alameda County,California,Census Tract 4305,58618,1247,6005,0.030804598,456100,0.26561199,0.159200666,0.210657785,0.283263947,Bay Area
6001430600,Alameda County,California,Census Tract 4306,95976,1783,6031,0.024730216,5.86E+05,0.430111093,0.081744321,0.27524457,0.154700713,Bay Area
6001430700,Alameda County,California,Census Tract 4307,98373,1843,4066,0.010211524,559800,0.599606493,0.027791441,0.156910969,0.163059518,Bay Area
6001430800,Alameda County,California,Census Tract 4308,68190,1376,6126,0.022391402,552700,0.442213516,0.014854718,0.244041789,0.260202416,Bay Area
6001430900,Alameda County,California,Census Tract 4309,57676,1418,4940,0.025560772,415900,0.435222672,0.108097166,0.164777328,0.237854251,Bay Area
6001431000,Alameda County,California,Census Tract 4310,63720,1485,2842,0.047465809,423400,0.356087262,0.019704433,0.232230823,0.305770584,Bay Area
6001431100,Alameda County,California,Census Tract 4311,56250,1286,3397,0.094623656,4.49E+05,0.36797174,0.11510156,0.103915219,0.330291434,Bay Area
6001431200,Alameda County,California,Census Tract 4312,64075,1504,5763,0,402200,0.436057609,0.141072358,0.182196773,0.210307132,Bay Area
6001432100,Alameda County,California,Census Tract 4321,95676,1425,3683,0.034482759,542700,0.397230519,0.161281564,0.167254955,0.189790931,Bay Area
6001432200,Alameda County,California,Census Tract 4322,62307,1404,4235,0.110801782,568800,0.348288076,0.175206612,0.111452184,0.283825266,Bay Area
