fips,oppzone,city,levratio,medincome,phisp,pblk,mhisp
6085501200,Not Designated,San Jose,3.56,69583,0.553945609,0.035666518,Majority
6085503511,Not Designated,San Jose,4.15,97862,0.419685039,0.027559055,Not Majority
6085503324,Not Designated,San Jose,3.21,114643,0.146436526,0.026169265,Not Majority
6085512036,Not Designated,San Jose,3.39,102200,0.244587156,0.036146789,Not Majority
6085501000,Designated Qualified Opportunity Zone,San Jose,3.33,37988,0.489563159,0.037443512,Not Majority
6085503110,Designated Qualified Opportunity Zone,San Jose,3.43,44780,0.671308171,0.012825211,Majority
6085503707,Not Designated,San Jose,3.99,81977,0.535840566,0.041787207,Majority
6085503337,Not Designated,San Jose,3.14,82946,0.243863394,0.030416222,Not Majority
6085503401,Designated Qualified Opportunity Zone,San Jose,4,60455,0.73257315,0.007314974,Majority
6085501300,Not Designated,San Jose,3.3,82019,0.269071038,0.063169399,Not Majority
6085500901,Designated Qualified Opportunity Zone,San Jose,3.23,61458,0.183316929,0.070374016,Not Majority
6085503113,Not Designated,San Jose,3.69,55331,0.817221447,0.028104445,Majority
6085503123,Not Designated,San Jose,3.49,43785,0.422233686,0.072994583,Not Majority
6085503703,Not Designated,San Jose,3.93,60877,0.702359347,0.047867514,Majority
6085502302,Not Designated,San Jose,3.35,83507,0.244934234,0.009242801,Not Majority
6085501101,Not Designated,San Jose,3.16,71852,0.403547186,0.079483249,Not Majority
6085503712,Not Designated,San Jose,3.35,31903,0.467797443,0.014503441,Not Majority
6085512042,Not Designated,San Jose,3.63,68500,0.419366323,0.044855821,Not Majority
6085501501,Not Designated,San Jose,3.84,NA,0.670841889,0.011498973,Majority
6085503710,Not Designated,San Jose,4.1,31667,0.628015564,0.005706874,Majority
6085503217,Not Designated,San Jose,3.94,63258,0.69303086,0.020846107,Majority
6085503218,Not Designated,San Jose,4.61,41086,0.80268511,0,Majority
6085503118,Not Designated,San Jose,3.48,66056,0.468573511,0.051557661,Not Majority
6085501402,Not Designated,San Jose,3.46,46644,0.740943683,0.010045662,Majority
6085503117,Not Designated,San Jose,3.98,48636,0.537844772,0.012508018,Majority
6085503713,Not Designated,San Jose,3.44,29390,0.582222222,0.021269841,Majority
6085503507,Not Designated,San Jose,4.5,104219,0.776947286,0.020062943,Majority
6085500902,Not Designated,San Jose,3.36786087,30682,0.256218501,0.067793855,Not Majority
6001409000,Designated Qualified Opportunity Zone,Oakland,3.19,44125,0.532249467,0.349147122,Majority
6001401700,Designated Qualified Opportunity Zone,Oakland,3.07,66308,0.314296379,0.239641657,Not Majority
6001408100,Not Designated,Oakland,3.11,103670,0.111714012,0.224385573,Not Majority
6001410000,Not Designated,Oakland,3.51,107083,0.063585608,0.438585608,Not Majority
