Census Tract,FIPS Code,Formatted FIPS,Annual transit trips taken by a moderate-income family household
"06037125320, CA",6037125320,06037125320,488.84
"06037242300, CA",6037242300,06037242300,258.81
"06037237101, CA",6037237101,06037237101,295.57
"06037232300, CA",6037232300,06037232300,286.5
"06037274100, CA",6037274100,06037274100,371.69
"06037132502, CA",6037132502,06037132502,292.07
"06037189102, CA",6037189102,06037189102,479.22
"06037293306, CA",6037293306,06037293306,176.04
"06037265601, CA",6037265601,06037265601,532.86
"06037134306, CA",6037134306,06037134306,223.82
"06037231400, CA",6037231400,06037231400,368.86
"06037134522, CA",6037134522,06037134522,252.64
"06037275102, CA",6037275102,06037275102,406.93
"06037297602, CA",6037297602,06037297602,222.3
"06037127805, CA",6037127805,06037127805,260.69
"06037206300, CA",6037206300,06037206300,925.09
"06037197420, CA",6037197420,06037197420,462.09
"06037296901, CA",6037296901,06037296901,206.08
"06037104822, CA",6037104822,06037104822,159.28
"06037239802, CA",6037239802,06037239802,273.96
"06037243100, CA",6037243100,06037243100,332.35
"06037123206, CA",6037123206,06037123206,303.15
"06037204110, CA",6037204110,06037204110,323.4
"06037272301, CA",6037272301,06037272301,344.65
"06037195201, CA",6037195201,06037195201,440.2
"06037190100, CA",6037190100,06037190100,449.3
"06037240402, CA",6037240402,06037240402,264.37
"06037218110, CA",6037218110,06037218110,386.31
"06037104610, CA",6037104610,06037104610,122.03
