Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06085506604, CA",6085506604,06085506604,Not Designated,San Jose,3.38,"Census Tract 5066.04, Santa Clara County, California",113622,0.08139856274184633,0.003869541182974019
"06085511912, CA",6085511912,06085511912,Not Designated,San Jose,3.23,"Census Tract 5119.12, Santa Clara County, California",163846,0.05459288242966275,0.01267002049562139
"06085512005, CA",6085512005,06085512005,Not Designated,San Jose,3.61,"Census Tract 5120.05, Santa Clara County, California",114669,0.2566212778692204,0.016758940595540926
"06085503305, CA",6085503305,06085503305,Designated Qualified Opportunity Zone,San Jose,4.19,"Census Tract 5033.05, Santa Clara County, California",73819,0.47099404201944184,0.019441831295076827
"06085512035, CA",6085512035,06085512035,Not Designated,San Jose,3.55,"Census Tract 5120.35, Santa Clara County, California",120482,0.33201494177103935,0.04504504504504504
"06085512017, CA",6085512017,06085512017,Not Designated,San Jose,3.64,"Census Tract 5120.17, Santa Clara County, California",78792,0.48360565851518805,0.043645136528128084
"06085506803, CA",6085506803,06085506803,Not Designated,San Jose,3.48,"Census Tract 5068.03, Santa Clara County, California",125417,0.15180923332871205,0.003327325661999168
"06085503108, CA",6085503108,06085503108,Not Designated,San Jose,3.21,"Census Tract 5031.08, Santa Clara County, California",85557,0.3759574993822585,0.04212997281937238
"06085511910, CA",6085511910,06085511910,Not Designated,San Jose,3.47,"Census Tract 5119.10, Santa Clara County, California",198068,0.0160741885625966,0.025656877897990725
"06085503121, CA",6085503121,06085503121,Not Designated,San Jose,3.49,"Census Tract 5031.21, Santa Clara County, California",50893,0.5870044052863436,0.04162995594713657
"06085504311, CA",6085504311,06085504311,Not Designated,San Jose,3.39,"Census Tract 5043.11, Santa Clara County, California",127348,0.057617728531855955,0.002493074792243767
"06085500500, CA",6085500500,06085500500,Not Designated,San Jose,3.26,"Census Tract 5005, Santa Clara County, California",130469,0.20014245014245013,0.010861823361823363
"06085502908, CA",6085502908,06085502908,Not Designated,San Jose,3.53,"Census Tract 5029.08, Santa Clara County, California",135110,0.19177086362314627,0.010468159348647864
"06085504319, CA",6085504319,06085504319,Not Designated,San Jose,3.29,"Census Tract 5043.19, Santa Clara County, California",103153,0.14258477461527985,0.010758545553588452
"06085503333, CA",6085503333,06085503333,Not Designated,San Jose,3.56,"Census Tract 5033.33, Santa Clara County, California",139914,0.2104787714543812,0.023261065943992774
